Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2022-08-05,21:00,Lyon,Ajaccio,1.3,1.5,2–1,2022-2023,-2
1.0,Sat,2022-08-06,17:00,Strasbourg,Monaco,0.8,2.8,1–2,2022-2023,-1
1.0,Sat,2022-08-06,21:00,Clermont Foot,Paris S-G,0.3,3.5,0–5,2022-2023,0
1.0,Sun,2022-08-07,13:00,Toulouse,Nice,0.9,1.2,1–1,2022-2023,1
1.0,Sun,2022-08-07,15:00,Lens,Brest,2.5,1.2,3–2,2022-2023,2
1.0,Sun,2022-08-07,15:00,Angers,Nantes,1.5,1.5,0–0,2022-2023,3
1.0,Sun,2022-08-07,15:00,Lille,Auxerre,2.4,0.6,4–1,2022-2023,4
1.0,Sun,2022-08-07,15:00,Montpellier,Troyes,1.7,2.0,3–2,2022-2023,5
1.0,Sun,2022-08-07,17:05,Rennes,Lorient,1.8,1.1,0–1,2022-2023,6
1.0,Sun,2022-08-07,20:45,Marseille,Reims,2.1,0.9,4–1,2022-2023,7
2.0,Fri,2022-08-12,21:00,Nantes,Lille,1.0,2.0,1–1,2022-2023,8
2.0,Sat,2022-08-13,17:00,Monaco,Rennes,1.8,2.1,1–1,2022-2023,9
2.0,Sat,2022-08-13,21:00,Paris S-G,Montpellier,3.2,0.9,5–2,2022-2023,10
2.0,Sun,2022-08-14,15:00,Ajaccio,Lens,0.5,1.4,0–0,2022-2023,11
2.0,Sun,2022-08-14,15:00,Reims,Clermont Foot,2.7,1.9,2–4,2022-2023,12
2.0,Sun,2022-08-14,15:00,Auxerre,Angers,0.8,1.4,2–2,2022-2023,13
2.0,Sun,2022-08-14,15:00,Troyes,Toulouse,1.0,1.5,0–3,2022-2023,14
2.0,Sun,2022-08-14,17:05,Nice,Strasbourg,1.6,0.9,1–1,2022-2023,15
2.0,Sun,2022-08-14,20:45,Brest,Marseille,2.0,0.7,1–1,2022-2023,16
3.0,Fri,2022-08-19,21:00,Lyon,Troyes,2.6,1.0,4–1,2022-2023,17
3.0,Sat,2022-08-20,17:00,Monaco,Lens,1.6,2.5,1–4,2022-2023,18
3.0,Sat,2022-08-20,21:00,Marseille,Nantes,1.1,2.2,2–1,2022-2023,19
3.0,Sun,2022-08-21,13:00,Strasbourg,Reims,1.2,2.0,1–1,2022-2023,20
3.0,Sun,2022-08-21,15:00,Montpellier,Auxerre,1.0,1.3,1–2,2022-2023,21
3.0,Sun,2022-08-21,15:00,Clermont Foot,Nice,0.7,1.4,1–0,2022-2023,22
3.0,Sun,2022-08-21,15:00,Angers,Brest,0.6,1.8,1–3,2022-2023,23
3.0,Sun,2022-08-21,15:00,Toulouse,Lorient,1.8,2.5,2–2,2022-2023,24
3.0,Sun,2022-08-21,17:05,Rennes,Ajaccio,1.2,1.4,2–1,2022-2023,25
3.0,Sun,2022-08-21,20:45,Lille,Paris S-G,1.7,3.4,1–7,2022-2023,26
4.0,Fri,2022-08-26,21:00,Ajaccio,Lille,1.5,1.7,1–3,2022-2023,27
4.0,Sat,2022-08-27,17:00,Auxerre,Strasbourg,0.6,1.3,1–0,2022-2023,28
4.0,Sat,2022-08-27,21:00,Lens,Rennes,1.3,1.0,2–1,2022-2023,29
4.0,Sun,2022-08-28,13:00,Nantes,Toulouse,1.5,0.6,3–1,2022-2023,30
4.0,Sun,2022-08-28,15:00,Lorient,Clermont Foot,2.9,0.6,2–1,2022-2023,31
4.0,Sun,2022-08-28,15:00,Brest,Montpellier,0.3,2.5,0–7,2022-2023,32
4.0,Sun,2022-08-28,15:00,Nice,Marseille,1.0,1.4,0–3,2022-2023,33
4.0,Sun,2022-08-28,15:00,Troyes,Angers,1.9,0.7,3–1,2022-2023,34
4.0,Sun,2022-08-28,17:05,Reims,Lyon,0.4,1.1,1–1,2022-2023,35
4.0,Sun,2022-08-28,20:45,Paris S-G,Monaco,2.7,1.2,1–1,2022-2023,36
5.0,Wed,2022-08-31,19:00,Strasbourg,Nantes,0.4,1.2,1–1,2022-2023,37
5.0,Wed,2022-08-31,19:00,Monaco,Troyes,1.2,2.2,2–4,2022-2023,38
5.0,Wed,2022-08-31,19:00,Lyon,Auxerre,2.6,0.7,2–1,2022-2023,39
5.0,Wed,2022-08-31,19:00,Angers,Reims,1.7,2.3,2–4,2022-2023,40
5.0,Wed,2022-08-31,19:00,Montpellier,Ajaccio,1.7,1.2,2–0,2022-2023,41
5.0,Wed,2022-08-31,21:00,Toulouse,Paris S-G,0.8,2.8,0–3,2022-2023,42
5.0,Wed,2022-08-31,21:00,Lille,Nice,0.9,1.6,1–2,2022-2023,43
5.0,Wed,2022-08-31,21:00,Rennes,Brest,1.5,0.5,3–1,2022-2023,44
5.0,Wed,2022-08-31,21:00,Marseille,Clermont Foot,2.5,0.1,1–0,2022-2023,45
5.0,Wed,2022-08-31,21:00,Lens,Lorient,3.0,1.1,5–2,2022-2023,46
6.0,Sat,2022-09-03,17:00,Auxerre,Marseille,0.6,1.6,0–2,2022-2023,47
6.0,Sat,2022-09-03,19:00,Lyon,Angers,1.4,1.0,5–0,2022-2023,48
6.0,Sat,2022-09-03,21:00,Nantes,Paris S-G,0.4,2.7,0–3,2022-2023,49
6.0,Sun,2022-09-04,13:00,Montpellier,Lille,0.5,1.6,1–3,2022-2023,50
6.0,Sun,2022-09-04,15:00,Clermont Foot,Toulouse,1.3,1.3,2–0,2022-2023,51
6.0,Sun,2022-09-04,15:00,Reims,Lens,2.1,1.9,1–1,2022-2023,52
